ID STAR;SGidSourceEnt
129773;UBFC_ADUM_ UBFC_87422
143939;UBFC_ADUM_ UBFC_87418
150954;UBFC_ADUM_ UBFC_87417
103657;UBFC_ADUM_ UBFC_87415
126121;UBFC_ADUM_ UBFC_87411
129166;UBFC_ADUM_ UBFC_87409
170758;UBFC_ADUM_ UBFC_87401
129075;UBFC_ADUM_ UBFC_87400
118229;UBFC_ADUM_ UBFC_87399
171054;UBFC_ADUM_ UBFC_87395
170718;UBFC_ADUM_ UBFC_87394
112636;UBFC_ADUM_ UBFC_87392
111009;UBFC_ADUM_ UBFC_87391
151852;UBFC_ADUM_ UBFC_87387
110652;UBFC_ADUM_ UBFC_87310
179440;UBFC_ADUM_ UBFC_87309
102881;UBFC_ADUM_ UBFC_87308
106394;UBFC_ADUM_ UBFC_87306
184362;UBFC_ADUM_ UBFC_87305
129076;UBFC_ADUM_ UBFC_87304
129695;UBFC_ADUM_ UBFC_87303
170740;UBFC_ADUM_ UBFC_87302
114737;UBFC_ADUM_ UBFC_87300
146484;UBFC_ADUM_ UBFC_87296
123330;UBFC_ADUM_ UBFC_87266
102688;UBFC_ADUM_ UBFC_87263
120141;UBFC_ADUM_ UBFC_87262
130027;UBFC_ADUM_ UBFC_87261
118527;UBFC_ADUM_ UBFC_87260
171947;UBFC_ADUM_ UBFC_87257
113421;UBFC_ADUM_ UBFC_87255
129280;UBFC_ADUM_ UBFC_87251
106670;UBFC_ADUM_ UBFC_87248
175624;UBFC_ADUM_ UBFC_87247
103653;UBFC_ADUM_ UBFC_87246
103312;UBFC_ADUM_ UBFC_87245
102669;UBFC_ADUM_ UBFC_87243
123661;UBFC_ADUM_ UBFC_87241
111732;UBFC_ADUM_ UBFC_87240
138235;UBFC_ADUM_ UBFC_87239
122100;UBFC_ADUM_ UBFC_87238
143940;UBFC_ADUM_ UBFC_87237
103648;UBFC_ADUM_ UBFC_87236
142092;UBFC_ADUM_ UBFC_87234
128284;UBFC_ADUM_ UBFC_87130
130321;UBFC_ADUM_ UBFC_87080
113517;UBFC_ADUM_ UBFC_87069
137254;UBFC_ADUM_ UBFC_87039
184380;UBFC_ADUM_ UBFC_87038
143079;UBFC_ADUM_ UBFC_87036
145445;UBFC_ADUM_ UBFC_87034
112068;UBFC_ADUM_ UBFC_87033
109847;UBFC_ADUM_ UBFC_87031
122471;UBFC_ADUM_ UBFC_87030
124044;UBFC_ADUM_ UBFC_87029
113207;UBFC_ADUM_ UBFC_87027
123789;UBFC_ADUM_ UBFC_87026
159630;UBFC_ADUM_ UBFC_87025
144275;UBFC_ADUM_ UBFC_87022
183151;UBFC_ADUM_ UBFC_87021
104618;UBFC_ADUM_ UBFC_87019
130458;UBFC_ADUM_ UBFC_87018
103646;UBFC_ADUM_ UBFC_87017
119263;UBFC_ADUM_ UBFC_87016
146400;UBFC_ADUM_ UBFC_87013
104763;UBFC_ADUM_ UBFC_87010
114898;UBFC_ADUM_ UBFC_86998
148471;UBFC_ADUM_ UBFC_86989
110989;UBFC_ADUM_ UBFC_86988
113183;UBFC_ADUM_ UBFC_86987
154538;UBFC_ADUM_ UBFC_86986
113825;UBFC_ADUM_ UBFC_86984
170324;UBFC_ADUM_ UBFC_86983
172875;UBFC_ADUM_ UBFC_86981
157949;UBFC_ADUM_ UBFC_86980
180353;UBFC_ADUM_ UBFC_86979
111583;UBFC_ADUM_ UBFC_86976
105751;UBFC_ADUM_ UBFC_86975
116312;UBFC_ADUM_ UBFC_86973
113537;UBFC_ADUM_ UBFC_86971
171784;UBFC_ADUM_ UBFC_86969
184491;UBFC_ADUM_ UBFC_86949
135042;UBFC_ADUM_ UBFC_86947
104764;UBFC_ADUM_ UBFC_86946
103660;UBFC_ADUM_ UBFC_86945
113209;UBFC_ADUM_ UBFC_86944
136333;UBFC_ADUM_ UBFC_86941
113818;UBFC_ADUM_ UBFC_86940
179446;UBFC_ADUM_ UBFC_86938
105556;UBFC_ADUM_ UBFC_86934
171815;UBFC_ADUM_ UBFC_86927
156959;UBFC_ADUM_ UBFC_86926
122049;UBFC_ADUM_ UBFC_86925
136212;UBFC_ADUM_ UBFC_86924
146137;UBFC_ADUM_ UBFC_86921
113535;UBFC_ADUM_ UBFC_86917
