IDstar,ancienne_url,nouvelle_url
4466,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ba8e4f18-0aac-4461-848d-e1f318603116,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Filiot.pdf
2649,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/2a3cc466-b9ec-4d0d-9a57-1d60b59f1821,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Flament.pdf
3762,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/6c57e8b6-9450-4769-9fa6-d1873f930657,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Foulon.pdf
5138,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/b04de0cc-48e2-4df1-84d7-b5cf7e56e8e5,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Fournier.pdf
3394,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/9124b4ae-a4fc-44a4-914d-92db1e2b271f,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Gackiere.pdf
4527,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ca20a1e3-d3e0-4996-b101-ed61d290177d,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Genoulaz.pdf
4615,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/987c03fb-10f0-4407-b03c-6619b660a112,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Geynet.pdf
3709,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/edb2916a-abf2-4415-9d45-fb64a681ed91,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Ghindici.pdf
3330,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/bb72ec42-b114-4e01-af82-11bfc12537fa,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Gnanga.pdf
3736,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/3ca6a45e-9482-4ab7-84b3-9895c90d36f0,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Guilleminot.pdf
3696,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ea55339e-57b2-4a4c-8c7d-566aab7aca97,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Hedou.pdf
2632,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/408d35eb-5eff-4e14-9b7d-471603892457,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Herdier.pdf
2752,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/6f3f015a-7487-4fce-827b-d48675463b5a,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Hubert.pdf
4124,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/4c07e4da-0991-4c3c-b854-817d840e4b86,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Huvelin.pdf
2916,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/9c64db39-2ee4-472b-bf36-e215f42cc941,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Ibrahim.pdf
2651,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/6a22aacf-bce2-4637-bcb1-8ec9d8bf3c22,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Izard.pdf
2731,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/65c2bc55-3d4f-481d-8479-8c011e13167e,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Jardin.pdf
2629,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/36574736-df60-4367-8b9f-0f1f7337dff4,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Kacenelenbogen.pdf
2634,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/b7dc2057-9c2e-4686-a37c-faa7f8e26a9f,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Kamal.pdf
3663,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/868e71f4-e4e1-4ffc-91af-c0e95253da9e,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-La_Barbera.pdf
4176,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/c3ea446f-4375-4b9d-8218-6abd135c7c84,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Lallet_Daher.pdf
2720,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/40f23bd4-bf9a-4c4f-a17b-65c2ee71df57,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Lefebvre.pdf
3732,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/262901d4-72f7-4f54-83cf-dcec92ff180e,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Lesven.pdf
4447,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/f188827e-43de-448d-908e-a01ffd50b674,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Liefooghe.pdf
2643,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/341316f7-6e83-4f04-a8b6-94bc314091dc,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Loiret.pdf
2648,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/bcef248b-cdab-48de-8e50-90338b57f1d4,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Machu.pdf
3656,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ee37999e-fc48-441a-9c11-f4dac280210e,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Magnier.pdf
2740,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/d2d6a43a-9005-4b1c-a8e3-c23319e8bc70,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Mammeri.pdf
3681,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/f958dc32-9054-46a9-9718-882bf31d8c3d,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Martien.pdf
2741,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/cc858ca2-3a42-459e-83c9-f9c0f911e6c2,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Martineau.pdf
3409,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/7b274c3d-a6da-45af-86ea-952fb64e2905,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Mejni.pdf
4416,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/f0304459-7f39-4edc-b71b-1ee42c79ff11,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Meziane.pdf
