IDSTAR;ID STEP;NNT;numeroPAC;SGindicCines;dateCines;etat;etatWF;SCOL etat;BIBL etat;FICH etat;VALID etat
158861;202576;2021LYSE1047;1443167;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
173156;203988;2022BORD0258;1443183;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
151435;205915;2021UPSLP002;1443102;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
183042;208033;2022GRALT043;1443165;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
165897;208579;2021LYSE1340;1443020;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
174737;208661;2021BRES0109;1443011;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
175619;210133;2021BRES0113;1442998;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
166454;210306;2021AIXM0634;1443154;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
180839;210549;2021LYSE1338;1443013;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
176059;212399;2021LYSE1334;1442999;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
179666;212882;2021LYSE1342;1443144;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
184119;213204;2022UPAST099;1443200;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
184099;214101;2022BORD0187;1443001;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
178143;214516;2022AIXM0009;1443166;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
180804;216978;2022UPSLM019;1442986;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
186157;217524;2022NORMC217;1443151;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
160750;218390;2022LIMO0062;1442982;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
168656;218871;2021LYSE1335;1443003;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
171905;218961;2021LYSE1333;1442993;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
174176;220651;2021MULH3784;1443014;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
180624;221028;2022MONTS012;1443006;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
173130;221447;2022AIXM0026;1443163;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
177445;221751;2021MULH2459;1442984;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
174173;222301;2021MULH4926;1443043;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
183865;222344;2022GRALI049;1443000;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
179431;222723;2022MONTS010;1443012;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
185157;227928;2022ENIB0013;1442983;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
167337;230823;2021LYSES049;1443159;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188177;238094;2022IMTA0271;1442980;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
173290;238290;2021AIXM0637;1443152;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
163465;238933;2021TOUR5009;1443021;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
171922;247151;2021IPPAX111;1443142;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
185347;251264;2022IPPAX051;1443141;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
175657;256708;2022IPPAX006;1443140;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
151029;266826;2021SORUS502;1442992;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
163617;266975;2021SORUS480;1442990;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
180771;267473;2022SORUS127;1442991;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
163708;269240;2021STRAG019;1442988;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
163707;269381;2021STRAG017;1443008;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
184581;269690;2022STRAG007;1443005;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
158287;277670;2021PAUU3068;1442997;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
171468;284466;2021LORR0353;1443002;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
