Id;OLD_COD_IND;ETAB;COD_IND
123178;435475;UNIP;471800
123179;503181;UNIP;518503
123180;136685;UNIP;335321
123181;462887;UNIP;494048
123182;520501;UNIP;528493
123183;555960;UNIP;547203
123184;423622;UNIP;463577
123186;449783;UNIP;483373
123188;474637;UNIP;502471
123190;508405;UNIP;522415
123191;508909;UNIP;522781
123192;554134;UNIP;546386
123193;556390;UNIP;547354
123199;477660;UNIP;504933
123200;503294;UNIP;518605
123201;508998;UNIP;522848
123202;532583;UNIP;535588
123203;546978;UNIP;543531
123204;546653;UNIP;543401
123205;508745;UNIP;522645
123206;501380;UNIP;517020
123207;465950;UNIP;496534
123208;458912;UNIP;490758
123209;454289;UNIP;487130
123210;411870;UNIP;455438
123211;374630;UNIP;428148
123212;323687;UNIP;390866
123213;171500;UNIP;363964
123214;445541;UNIP;480003
123215;462961;UNIP;494109
123216;509981;UNIP;523357
123217;529646;UNIP;534528
123218;554628;UNIP;546587
123219;557625;UNIP;547814
123335;503607;UNIP;518839
123336;504868;UNIP;519792
123337;505448;UNIP;520265
123360;526324;UNIP;532523
123361;541750;UNIP;540487
123362;550029;UNIP;544720
123363;554802;UNIP;546685
123364;557624;UNIP;547813
123365;571083;UNIP;555373
123366;433036;UNIP;469766
123367;433605;UNIP;470244
123368;438965;UNIP;474758
123369;449084;UNIP;482811
123370;450968;UNIP;484355
123371;451534;UNIP;484843
123373;480620;UNIP;507432
123374;486906;UNIP;510133
123375;498353;UNIP;514607
123376;503304;UNIP;518615
123379;486909;UNIP;510136
123380;501984;UNIP;517490
123381;502820;UNIP;518205
123382;358159;UNIP;415994
123383;485024;UNIP;509379
123384;516572;UNIP;525736
123385;526330;UNIP;532528
123386;543673;UNIP;541751
123387;557042;UNIP;547596
123388;571354;UNIP;555523
123389;434920;UNIP;471323
123547;517822;UNIP;526705
123548;521131;UNIP;528984
123549;523547;UNIP;530621
123550;551284;UNIP;545257
123551;567990;UNIP;553671
123552;569058;UNIP;554406
123553;87252;UNIP;320075
123554;446047;UNIP;480427
123555;447599;UNIP;481674
123556;493910;UNIP;512543
123557;496932;UNIP;513384
123558;485080;UNIP;509423
123561;516753;UNIP;525885
123562;542724;UNIP;541249
123563;554415;UNIP;546457
123564;411411;UNIP;455109
123565;443001;UNIP;477809
123566;445293;UNIP;479785
123568;501713;UNIP;517311
123569;577166;UNIP;558041
123570;502553;UNIP;517984
123572;521949;UNIP;529554
123573;522695;UNIP;530061
123574;524004;UNIP;530919
123575;540982;UNIP;539966
123576;550541;UNIP;545014
123577;552662;UNIP;545870
123578;400211;UNIP;447075
123579;579695;UNIP;559108
123580;513360;UNIP;523930
123581;517200;UNIP;526240
123582;523830;UNIP;530799
123583;539717;UNIP;539015
123586;566811;UNIP;552887
123587;570877;UNIP;555252
123599;553108;UNIP;546072
123601;566880;UNIP;552944
123630;443739;UNIP;478439
123692;555686;UNIP;547082
123693;576069;UNIP;557637
123696;21110569;UNIP;193179
123709;524096;UNIP;530998
123710;545405;UNIP;542711
123711;447037;UNIP;481244
123712;21601571;UNIP;253514
123716;21623920;UNIP;267624
123719;21513864;UNIP;247329
123720;20802518;UNIP;148676
123739;21614446;UNIP;261351
123740;21615699;UNIP;262268
123895;543815;UNIP;541856
123956;479113;UNIP;506152
123957;542305;UNIP;540919
123958;574495;UNIP;556947
123973;444902;UNIP;479450
123974;578436;UNIP;558550
123975;438944;UNIP;474739
123976;478541;UNIP;505662
123977;574687;UNIP;557040
123978;579975;UNIP;559237
123979;574712;UNIP;557058
123980;451100;UNIP;484475
123999;577035;UNIP;558014
124063;576406;UNIP;557796
124064;573648;UNIP;556568
124065;577877;UNIP;558328
124066;579505;UNIP;559007
124067;481091;UNIP;507795
124068;569120;UNIP;554454
124096;503125;UNIP;518452
124097;567201;UNIP;553186
124098;575165;UNIP;557251
124101;575630;UNIP;557450
124119;538069;UNIP;537643
124184;578256;UNIP;558458
124185;577560;UNIP;558206
124186;493875;UNIP;512532
124295;447622;UNIP;481693
124296;517305;UNIP;526306
124297;506206;UNIP;520853
124298;487921;UNIP;510704
124299;567487;UNIP;553332
124300;478678;UNIP;505781
124301;579663;UNIP;559088
124302;578479;UNIP;558578
