ID STAR;ID STEP;NNT;stepEtat;NNT
179431;222723;2022MONTS010;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022MONTS010</nnt>"
185157;227928;2022ENIB0013;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022ENIB0013</nnt>"
167337;230823;2021LYSES049;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSES049</nnt>"
188177;238094;2022IMTA0271;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022IMTA0271</nnt>"
173290;238290;2021AIXM0637;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0637</nnt>"
163465;238933;2021TOUR5009;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021TOUR5009</nnt>"
171922;247151;2021IPPAX111;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021IPPAX111</nnt>"
185347;251264;2022IPPAX051;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022IPPAX051</nnt>"
175657;256708;2022IPPAX006;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022IPPAX006</nnt>"
151029;266826;2021SORUS502;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021SORUS502</nnt>"
163617;266975;2021SORUS480;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021SORUS480</nnt>"
180771;267473;2022SORUS127;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022SORUS127</nnt>"
163708;269240;2021STRAG019;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021STRAG019</nnt>"
163707;269381;2021STRAG017;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021STRAG017</nnt>"
184581;269690;2022STRAG007;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022STRAG007</nnt>"
158287;277670;2021PAUU3068;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021PAUU3068</nnt>"
171468;284466;2021LORR0353;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LORR0353</nnt>"
172191;306600;2021ECDM0013;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021ECDM0013</nnt>"
175959;311255;2020ORLE3167;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2020ORLE3167</nnt>"
188937;312809;2022COAZ4021;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022COAZ4021</nnt>"
182655;318567;2022COAZ4023;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022COAZ4023</nnt>"
183209;319437;2022COAZ2012;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022COAZ2012</nnt>"
180027;324011;2022ULILS003;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022ULILS003</nnt>"
180961;338515;2021ISAR0015;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021ISAR0015</nnt>"
186047;339818;2021LILUD014;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LILUD014</nnt>"
188191;341633;2022LYSEI008;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022LYSEI008</nnt>"
186207;342234;2021LILUD012;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LILUD012</nnt>"
188295;344349;2022BORD0217;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022BORD0217</nnt>"
188698;345011;2022LYSEI014;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022LYSEI014</nnt>"
188685;345047;2022COAZ0014;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022COAZ0014</nnt>"
188818;347045;2022LYSEI016;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022LYSEI016</nnt>"
189023;347311;2022LYSEI035;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022LYSEI035</nnt>"
