IDSTEP;SGentreeIdSource;new
218369;UBFC_ADUM_ UBFC_107171;UBFC_ADUM_UBFC_107171
238175;UBFC_ADUM_ UBFC_107170;UBFC_ADUM_UBFC_107170
218367;UBFC_ADUM_ UBFC_107169;UBFC_ADUM_UBFC_107169
219812;UBFC_ADUM_ UBFC_107168;UBFC_ADUM_UBFC_107168
218366;UBFC_ADUM_ UBFC_107167;UBFC_ADUM_UBFC_107167
218365;UBFC_ADUM_ UBFC_107166;UBFC_ADUM_UBFC_107166
218364;UBFC_ADUM_ UBFC_107165;UBFC_ADUM_UBFC_107165
238154;UBFC_ADUM_ UBFC_107164;UBFC_ADUM_UBFC_107164
218355;UBFC_ADUM_ UBFC_107152;UBFC_ADUM_UBFC_107152
218354;UBFC_ADUM_ UBFC_107151;UBFC_ADUM_UBFC_107151
218341;UBFC_ADUM_ UBFC_107150;UBFC_ADUM_UBFC_107150
218353;UBFC_ADUM_ UBFC_107148;UBFC_ADUM_UBFC_107148
218117;UBFC_ADUM_ UBFC_107118;UBFC_ADUM_UBFC_107118
218100;UBFC_ADUM_ UBFC_107115;UBFC_ADUM_UBFC_107115
218027;UBFC_ADUM_ UBFC_107107;UBFC_ADUM_UBFC_107107
220002;UBFC_ADUM_ UBFC_107106;UBFC_ADUM_UBFC_107106
218026;UBFC_ADUM_ UBFC_107105;UBFC_ADUM_UBFC_107105
218025;UBFC_ADUM_ UBFC_107104;UBFC_ADUM_UBFC_107104
230417;UBFC_ADUM_ UBFC_107103;UBFC_ADUM_UBFC_107103
218021;UBFC_ADUM_ UBFC_107096;UBFC_ADUM_UBFC_107096
218019;UBFC_ADUM_ UBFC_107092;UBFC_ADUM_UBFC_107092
232466;UBFC_ADUM_ UBFC_107088;UBFC_ADUM_UBFC_107088
218017;UBFC_ADUM_ UBFC_107087;UBFC_ADUM_UBFC_107087
217829;UBFC_ADUM_ UBFC_107078;UBFC_ADUM_UBFC_107078
217849;UBFC_ADUM_ UBFC_107077;UBFC_ADUM_UBFC_107077
217826;UBFC_ADUM_ UBFC_107076;UBFC_ADUM_UBFC_107076
217846;UBFC_ADUM_ UBFC_107075;UBFC_ADUM_UBFC_107075
217822;UBFC_ADUM_ UBFC_107074;UBFC_ADUM_UBFC_107074
217843;UBFC_ADUM_ UBFC_107073;UBFC_ADUM_UBFC_107073
254408;UBFC_ADUM_ UBFC_107072;UBFC_ADUM_UBFC_107072
232058;UBFC_ADUM_ UBFC_107071;UBFC_ADUM_UBFC_107071
217820;UBFC_ADUM_ UBFC_107069;UBFC_ADUM_UBFC_107069
241904;UBFC_ADUM_ UBFC_107067;UBFC_ADUM_UBFC_107067
257150;UBFC_ADUM_ UBFC_107065;UBFC_ADUM_UBFC_107065
219834;UBFC_ADUM_ UBFC_107064;UBFC_ADUM_UBFC_107064
217841;UBFC_ADUM_ UBFC_107063;UBFC_ADUM_UBFC_107063
217819;UBFC_ADUM_ UBFC_107062;UBFC_ADUM_UBFC_107062
217693;UBFC_ADUM_ UBFC_106983;UBFC_ADUM_UBFC_106983
230189;UBFC_ADUM_ UBFC_106981;UBFC_ADUM_UBFC_106981
217692;UBFC_ADUM_ UBFC_106979;UBFC_ADUM_UBFC_106979
217275;UBFC_ADUM_ UBFC_106850;UBFC_ADUM_UBFC_106850
217244;UBFC_ADUM_ UBFC_106847;UBFC_ADUM_UBFC_106847
217243;UBFC_ADUM_ UBFC_106845;UBFC_ADUM_UBFC_106845
217242;UBFC_ADUM_ UBFC_106843;UBFC_ADUM_UBFC_106843
217182;UBFC_ADUM_ UBFC_106819;UBFC_ADUM_UBFC_106819
217177;UBFC_ADUM_ UBFC_106810;UBFC_ADUM_UBFC_106810
217176;UBFC_ADUM_ UBFC_106809;UBFC_ADUM_UBFC_106809
217175;UBFC_ADUM_ UBFC_106808;UBFC_ADUM_UBFC_106808
216664;UBFC_ADUM_ UBFC_106709;UBFC_ADUM_UBFC_106709
216663;UBFC_ADUM_ UBFC_106708;UBFC_ADUM_UBFC_106708
216500;UBFC_ADUM_ UBFC_106660;UBFC_ADUM_UBFC_106660
216493;UBFC_ADUM_ UBFC_106651;UBFC_ADUM_UBFC_106651
216344;UBFC_ADUM_ UBFC_106606;UBFC_ADUM_UBFC_106606
215911;UBFC_ADUM_ UBFC_106319;UBFC_ADUM_UBFC_106319
215920;UBFC_ADUM_ UBFC_106318;UBFC_ADUM_UBFC_106318
215919;UBFC_ADUM_ UBFC_106317;UBFC_ADUM_UBFC_106317
215918;UBFC_ADUM_ UBFC_106316;UBFC_ADUM_UBFC_106316
215886;UBFC_ADUM_ UBFC_106300;UBFC_ADUM_UBFC_106300
215877;UBFC_ADUM_ UBFC_106275;UBFC_ADUM_UBFC_106275
215605;UBFC_ADUM_ UBFC_106132;UBFC_ADUM_UBFC_106132
215604;UBFC_ADUM_ UBFC_106131;UBFC_ADUM_UBFC_106131
215591;UBFC_ADUM_ UBFC_106130;UBFC_ADUM_UBFC_106130
215597;UBFC_ADUM_ UBFC_106128;UBFC_ADUM_UBFC_106128
215581;UBFC_ADUM_ UBFC_106127;UBFC_ADUM_UBFC_106127
258968;UBFC_ADUM_ UBFC_106126;UBFC_ADUM_UBFC_106126
235991;UBFC_ADUM_ UBFC_106125;UBFC_ADUM_UBFC_106125
230275;UBFC_ADUM_ UBFC_106124;UBFC_ADUM_UBFC_106124
215580;UBFC_ADUM_ UBFC_106122;UBFC_ADUM_UBFC_106122
215579;UBFC_ADUM_ UBFC_106121;UBFC_ADUM_UBFC_106121
215578;UBFC_ADUM_ UBFC_106120;UBFC_ADUM_UBFC_106120
232036;UBFC_ADUM_ UBFC_106119;UBFC_ADUM_UBFC_106119
215595;UBFC_ADUM_ UBFC_106118;UBFC_ADUM_UBFC_106118
215594;UBFC_ADUM_ UBFC_106117;UBFC_ADUM_UBFC_106117
215508;UBFC_ADUM_ UBFC_106106;UBFC_ADUM_UBFC_106106
215279;UBFC_ADUM_ UBFC_105939;UBFC_ADUM_UBFC_105939
215214;UBFC_ADUM_ UBFC_105869;UBFC_ADUM_UBFC_105869
215186;UBFC_ADUM_ UBFC_105858;UBFC_ADUM_UBFC_105858
215002;UBFC_ADUM_ UBFC_105784;UBFC_ADUM_UBFC_105784
215021;UBFC_ADUM_ UBFC_105776;UBFC_ADUM_UBFC_105776
214992;UBFC_ADUM_ UBFC_105754;UBFC_ADUM_UBFC_105754
214951;UBFC_ADUM_ UBFC_105751;UBFC_ADUM_UBFC_105751
214984;UBFC_ADUM_ UBFC_105741;UBFC_ADUM_UBFC_105741
214914;UBFC_ADUM_ UBFC_105704;UBFC_ADUM_UBFC_105704
214905;UBFC_ADUM_ UBFC_105702;UBFC_ADUM_UBFC_105702
214864;UBFC_ADUM_ UBFC_105678;UBFC_ADUM_UBFC_105678
214746;UBFC_ADUM_ UBFC_105625;UBFC_ADUM_UBFC_105625
228067;UBFC_ADUM_ UBFC_105624;UBFC_ADUM_UBFC_105624
214756;UBFC_ADUM_ UBFC_105623;UBFC_ADUM_UBFC_105623
214755;UBFC_ADUM_ UBFC_105622;UBFC_ADUM_UBFC_105622
